,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated_Duration,BounceRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep
1063,3,43.5,0,0.0,2264.333333,0.0,0.0,0.0,2,2,1,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1064,4,76.0,0,0.0,866.0,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1065,0,0.0,0,0.0,97.0,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1066,0,0.0,0,0.0,701.5424242,0.013333333,0.0,0.0,2,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1067,2,35.0,0,0.0,979.0833333,0.0,60.04549665,0.0,2,2,3,2,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
1068,3,13.0,0,0.0,324.7692308,0.0,0.0,0.0,2,2,1,6,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1069,6,160.0952381,3,94.5,1682.870247,0.001333333,5.698642857,0.0,Other,2,Other,10,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
1070,0,0.0,0,0.0,210.0,0.044444444,0.0,0.0,Other,1,3,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1071,0,0.0,0,0.0,332.0,0.03,0.0,0.0,Other,1,3,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1072,1,45.0,0,0.0,1610.916667,0.0,0.0,0.0,Other,1,1,3,Other,True,False,0,0,0,0,1,0,0,0,0
1073,4,177.1666667,0,0.0,1188.566667,0.007843137,0.0,0.0,2,2,3,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1074,0,0.0,0,0.0,98.0,0.0,0.0,0.0,2,6,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1075,0,0.0,1,36.33333333,1663.683333,0.005405405,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1076,4,43.5,0,0.0,930.3,0.001190476,0.0,0.0,Other,5,1,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1077,0,0.0,0,0.0,1003.0,0.0,0.0,0.0,2,4,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1078,0,0.0,0,0.0,69.0,0.0,0.0,0.0,2,2,Other,6,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1079,0,0.0,0,0.0,1199.725758,0.007407407,9.028406684,0.0,Other,1,Other,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1080,0,0.0,0,0.0,1524.058333,0.019393939,11.77367361,0.0,Other,2,3,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1081,0,0.0,2,45.0,624.0,0.015384615,0.0,0.0,2,2,Other,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1082,0,0.0,0,0.0,1229.766667,0.005405405,0.0,0.0,2,2,1,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1083,0,0.0,0,0.0,972.6,0.0,0.0,0.0,2,2,3,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1084,5,159.0,0,0.0,438.4333333,0.003030303,0.0,0.0,Other,1,3,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1085,0,0.0,0,0.0,270.0,0.0,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1086,0,0.0,0,0.0,333.0,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1087,0,0.0,0,0.0,504.2333333,0.01,0.0,0.0,Other,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1088,0,0.0,0,0.0,845.5,0.0,0.0,0.0,Other,1,1,11,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1089,1,54.0,1,237.0,744.5,0.013333333,0.0,0.0,2,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1090,0,0.0,0,0.0,1129.0,0.00952381,0.0,0.0,2,5,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1091,2,34.0,0,0.0,358.0,0.0,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1092,0,0.0,0,0.0,832.0,0.0,21.92521348,0.0,2,6,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1093,0,0.0,0,0.0,36.5,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1094,0,0.0,0,0.0,157.0,0.0,0.0,0.0,Other,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1095,3,36.0,0,0.0,71.33333333,0.0,0.0,0.0,2,2,1,11,Other,False,False,0,0,0,0,1,0,0,0,0
1096,7,196.0,3,138.5,227.5,0.0,0.0,0.0,Other,2,Other,8,Other,True,False,0,0,0,0,1,0,0,0,0
1097,1,0.0,2,56.0,1054.309524,0.004761905,0.0,0.0,Other,1,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1099,0,0.0,0,0.0,229.25,0.0,0.0,0.0,Other,1,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1100,0,0.0,1,29.0,225.8333333,0.0,0.0,0.0,2,2,1,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1101,2,21.0,1,26.0,326.5833333,0.018181818,0.0,0.0,Other,2,Other,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1103,0,0.0,0,0.0,863.3333333,0.0,0.0,0.0,2,2,Other,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1106,6,60.0,2,61.0,1031.704762,0.0,33.14784917,0.0,Other,2,Other,10,Returning_Visitor,True,True,0,0,0,0,1,0,0,0,0
1107,0,0.0,0,0.0,917.0833333,0.008333333,0.0,0.0,Other,2,1,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1108,3,61.0,0,0.0,573.6571429,0.036842105,0.0,0.0,Other,1,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1109,0,0.0,0,0.0,94.5,0.0,0.0,0.0,2,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1110,0,0.0,0,0.0,238.1666667,0.0,0.0,0.0,2,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1112,0,0.0,5,14.0,750.5904762,0.007407407,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1114,0,0.0,0,0.0,606.8333333,0.031578947,0.0,0.0,2,2,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1115,0,0.0,3,300.0,509.1214286,0.006666667,40.7932,0.0,Other,2,Other,2,Returning_Visitor,True,True,0,0,0,0,1,0,0,0,0
1116,0,0.0,0,0.0,19.0,0.0,0.0,0.0,Other,1,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1117,3,80.42857143,0,0.0,5900.351378,0.0,0.0,0.0,Other,2,3,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1120,0,0.0,0,0.0,449.3333333,0.006153846,0.0,0.0,2,5,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1121,0,0.0,0,0.0,200.0,0.0,0.0,0.0,2,2,1,2,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1122,3,61.5,0,0.0,946.1666667,0.0,0.0,0.0,2,2,1,10,Other,False,False,0,0,0,0,1,0,0,0,0
1124,0,0.0,0,0.0,514.0,0.0,0.0,0.0,2,2,3,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1125,1,58.0,0,0.0,64.0,0.0,0.0,0.0,Other,1,Other,2,Other,False,False,0,0,0,0,1,0,0,0,0
1126,0,0.0,0,0.0,210.0,0.0,0.0,0.0,Other,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1128,0,0.0,0,0.0,771.5,0.022222222,0.0,0.0,Other,1,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1129,1,4.0,0,0.0,1096.75,0.0,0.0,0.0,2,2,Other,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1130,0,0.0,0,0.0,381.6666667,0.0,0.0,0.0,Other,1,3,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1132,0,0.0,0,0.0,69.0,0.0,0.0,0.0,Other,1,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1134,0,0.0,0,0.0,103.0,0.0,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1135,0,0.0,0,0.0,36.5,0.0,0.0,0.0,Other,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1136,0,0.0,0,0.0,226.0,0.0,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1137,1,156.1428571,0,0.0,1181.198413,0.0,0.0,0.0,Other,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1138,2,0.0,0,0.0,1394.666667,0.0,0.0,0.0,2,4,Other,6,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1140,0,0.0,0,0.0,459.8307692,0.0,0.0,0.0,Other,2,Other,2,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1144,1,112.0,0,0.0,2043.5,0.005555556,12.3578472,0.0,2,5,3,6,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
1145,4,73.5,0,0.0,663.4666667,0.002564103,0.0,0.0,Other,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1146,3,184.6888889,0,0.0,7669.250794,0.0,0.0,0.0,2,2,Other,13,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1147,5,75.16666667,0,0.0,115.1666667,0.028571429,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1148,0,0.0,0,0.0,296.45,0.0,0.0,0.0,Other,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1149,0,0.0,0,0.0,2633.869048,0.003703704,0.0,0.0,2,5,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1150,0,0.0,0,0.0,392.0,0.021052632,0.0,0.0,2,2,Other,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1151,1,19.0,0,0.0,748.6666667,0.0,0.0,0.0,Other,2,Other,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1153,0,0.0,0,0.0,5.0,0.0,0.0,0.0,2,2,1,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1156,0,0.0,1,37.0,497.3333333,0.0125,0.0,0.0,Other,1,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1157,10,117.3333333,0,0.0,631.9896825,0.017647059,10.16517157,0.0,Other,7,1,2,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
1158,0,0.0,0,0.0,315.6,0.0,0.0,0.0,Other,1,Other,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1159,1,7.0,0,0.0,183.3333333,0.0,0.0,0.0,2,2,3,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1160,1,0.0,0,0.0,192.1666667,0.0,0.0,0.0,Other,1,Other,9,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1161,1,0.0,0,0.0,1296.6,0.022222222,13.28355556,0.0,Other,2,Other,2,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
1163,0,0.0,1,41.0,698.0,0.0,0.0,0.0,2,5,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1164,1,14.0,0,0.0,1093.142857,0.0,0.0,0.0,2,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1165,1,5.0,0,0.0,2397.5,0.0,0.0,0.0,Other,1,3,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1166,2,107.0,0,0.0,56.0,0.0,0.0,0.0,Other,1,3,2,Other,False,False,0,0,0,0,1,0,0,0,0
1167,1,31.0,3,62.0,196.2,0.0,0.0,0.0,2,2,1,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1168,0,0.0,0,0.0,39.66666667,0.0,0.0,0.0,2,4,1,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1171,0,0.0,1,42.0,408.3333333,0.0,33.47777322,0.0,2,4,Other,2,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
1173,1,7.0,0,0.0,906.5666667,0.0,0.0,0.0,Other,1,1,2,Other,True,False,0,0,0,0,1,0,0,0,0
1174,0,0.0,0,0.0,149.0,0.0,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1175,0,0.0,0,0.0,1224.75,0.0,21.04864167,0.0,2,4,Other,2,Other,False,True,0,0,0,0,1,0,0,0,0
1177,2,52.0,1,17.66666667,1262.0,0.0,0.0,0.0,2,2,1,2,Other,False,False,0,0,0,0,1,0,0,0,0
1178,0,0.0,0,0.0,207.0,0.0,0.0,0.0,2,2,3,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1179,1,19.0,0,0.0,115.6666667,0.0,0.0,0.0,Other,2,Other,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1183,2,151.0,0,0.0,716.3571429,0.004761905,10.8692605,0.0,Other,1,Other,1,Returning_Visitor,True,True,0,0,0,0,1,0,0,0,0
1184,6,98.0,0,0.0,343.0,0.019444444,0.0,0.0,Other,2,1,2,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1185,6,52.0,1,24.0,3763.166667,0.003389831,10.37042373,0.0,2,2,1,1,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
1186,0,0.0,0,0.0,272.5,0.0,0.0,0.0,Other,1,Other,2,Other,True,False,0,0,0,0,1,0,0,0,0
1187,0,0.0,0,0.0,81.0,0.0,0.0,0.0,Other,1,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1189,0,0.0,0,0.0,251.6666667,0.028571429,0.0,0.0,Other,2,1,6,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1190,4,132.0,0,0.0,1413.333333,0.036,0.0,0.0,Other,2,Other,8,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1191,0,0.0,0,0.0,79.5,0.0,0.0,0.0,Other,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1192,3,23.0,0,0.0,83.0,0.0,0.0,0.0,2,2,Other,2,Other,False,False,0,0,0,0,1,0,0,0,0
1193,2,20.0,0,0.0,584.5,0.0,0.0,0.0,2,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1194,3,39.0,0,0.0,940.8333333,0.012121212,0.0,0.0,Other,8,3,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1195,2,152.8333333,0,0.0,791.6666667,0.011111111,41.35007203,0.0,Other,1,1,2,Other,False,True,0,0,0,0,1,0,0,0,0
1196,0,0.0,0,0.0,4346.541667,0.003070175,0.0,0.0,Other,1,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1197,0,0.0,0,0.0,50.5,0.0,0.0,0.0,2,2,1,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1198,0,0.0,0,0.0,74.0,0.0,0.0,0.0,2,4,Other,8,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1200,4,16.66666667,0,0.0,2593.741667,0.002941176,0.0,0.0,2,2,Other,8,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1201,0,0.0,0,0.0,59.0,0.0,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1202,2,197.0,4,219.0,1518.761111,0.007272727,0.0,0.0,Other,1,Other,2,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1203,0,0.0,0,0.0,62.0,0.0,0.0,0.0,2,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1204,0,0.0,0,0.0,365.4,0.027586207,0.0,0.0,Other,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1205,2,15.0,0,0.0,50.5,0.0,0.0,0.0,2,2,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1206,0,0.0,0,0.0,468.0,0.016666667,0.0,0.0,Other,1,Other,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1208,4,84.0,0,0.0,1059.0,0.0,0.0,0.0,2,2,3,2,Other,False,False,0,0,0,0,1,0,0,0,0
1209,0,0.0,0,0.0,52.0,0.0,0.0,0.0,2,4,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1210,3,151.0,0,0.0,892.0,0.0,0.0,0.0,Other,2,3,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1211,4,83.5,0,0.0,430.5,0.0,0.0,0.0,2,2,1,2,Other,False,False,0,0,0,0,1,0,0,0,0
1212,0,0.0,0,0.0,132.6333333,0.011764706,0.0,0.0,Other,1,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1215,0,0.0,0,0.0,363.3181818,0.014285714,0.0,0.0,Other,1,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1216,0,0.0,0,0.0,73.0,0.0,0.0,0.0,2,4,1,7,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1217,0,0.0,0,0.0,612.0,0.0,0.0,0.0,Other,3,1,2,Other,True,False,0,0,0,0,1,0,0,0,0
1219,0,0.0,0,0.0,495.0,0.0,77.96,0.0,Other,2,Other,2,Returning_Visitor,True,True,0,0,0,0,1,0,0,0,0
1220,0,0.0,0,0.0,49.5,0.0,0.0,0.0,2,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1221,3,130.8333333,1,109.0,1813.208333,0.0,0.0,0.0,2,2,3,2,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1222,0,0.0,0,0.0,218.0,0.0,0.0,0.0,2,2,Other,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1223,0,0.0,0,0.0,102.0,0.0,0.0,0.0,2,2,3,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1224,2,27.0,0,0.0,1278.090909,0.0,0.0,0.0,2,2,Other,2,Other,True,False,0,0,0,0,1,0,0,0,0
1225,0,0.0,0,0.0,25.0,0.0,0.0,0.0,Other,1,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1226,0,0.0,2,445.0,996.5166667,0.000854701,0.0,0.0,2,2,3,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1227,0,0.0,0,0.0,69.5,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1228,0,0.0,0,0.0,1530.248485,0.005128205,0.0,0.0,Other,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1229,2,12.0,0,0.0,2595.280952,0.009090909,0.0,0.0,2,4,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1230,0,0.0,0,0.0,471.5,0.016666667,0.0,0.0,Other,1,Other,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1232,0,0.0,0,0.0,153.0,0.02,0.0,0.0,Other,1,Other,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1233,9,160.0,0,0.0,3946.008333,0.007272727,20.32388105,0.0,2,6,1,8,Returning_Visitor,True,True,0,0,0,0,1,0,0,0,0
1234,0,0.0,0,0.0,648.4,0.0,0.0,0.0,Other,1,1,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1235,0,0.0,0,0.0,56.0,0.04,0.0,0.0,2,4,1,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1237,0,0.0,0,0.0,263.0,0.00952381,0.0,0.0,2,6,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1238,0,0.0,0,0.0,193.0,0.0,0.0,0.0,Other,1,3,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1240,0,0.0,0,0.0,116.0,0.025,0.0,0.0,2,4,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1241,3,31.33333333,0,0.0,1077.869048,0.0015625,0.0,0.0,Other,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1242,0,0.0,0,0.0,266.3333333,0.04,0.0,0.0,Other,2,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1243,0,0.0,0,0.0,17.0,0.0,0.0,0.0,Other,1,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1244,0,0.0,0,0.0,67.5,0.0,0.0,0.0,Other,1,3,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1245,3,81.0,1,0.0,499.6666667,0.0,0.0,0.0,2,6,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1246,1,5.5,0,0.0,286.0,0.025,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1247,4,81.0,0,0.0,112.7285714,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1248,1,18.0,0,0.0,1571.0,0.0,0.0,0.0,2,2,Other,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1249,0,0.0,0,0.0,241.0,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1250,0,0.0,0,0.0,187.0,0.031818182,0.0,0.0,2,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1251,3,91.0,2,338.0,451.0,0.0,45.7504,0.0,2,2,1,10,Other,False,True,0,0,0,0,1,0,0,0,0
1252,2,85.5,0,0.0,1741.483333,0.0,27.12804201,0.0,2,10,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1253,1,42.0,2,80.5,838.6833333,0.0,0.0,0.0,2,2,1,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1254,5,36.33333333,3,53.0,406.0,0.002564103,0.0,0.0,Other,1,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1255,0,0.0,0,0.0,437.1875,0.011111111,0.0,0.0,Other,1,Other,9,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1256,2,33.0,0,0.0,898.5,0.0,0.0,0.0,2,10,Other,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1257,0,0.0,0,0.0,215.75,0.0,0.0,0.0,2,2,3,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1258,7,110.25,0,0.0,266.5833333,0.011111111,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1259,0,0.0,0,0.0,546.0,0.0,35.49,0.0,2,2,3,1,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
1260,0,0.0,0,0.0,2156.0,0.01875,0.0,0.0,2,2,3,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1261,0,0.0,0,0.0,557.1666667,0.023529412,0.0,0.0,Other,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1262,2,27.0,1,35.0,461.05,0.016666667,16.33942857,0.0,Other,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1263,0,0.0,0,0.0,1473.333333,0.011111111,0.0,0.0,Other,1,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1264,4,155.5,0,0.0,474.8333333,0.0,0.0,0.0,Other,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1266,0,0.0,0,0.0,212.0,0.026666667,0.0,0.0,Other,2,3,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1268,0,0.0,3,56.0,369.0,0.0,0.0,0.0,Other,1,Other,2,Other,True,False,0,0,0,0,1,0,0,0,0
1269,0,0.0,0,0.0,136.6666667,0.02,0.0,0.0,Other,2,1,10,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1270,0,0.0,0,0.0,243.2,0.02,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1271,0,0.0,0,0.0,459.0,0.0,0.0,0.0,2,4,3,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1274,0,0.0,0,0.0,36.0,0.0,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1275,0,0.0,0,0.0,518.6666667,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1278,1,0.0,0,0.0,436.0,0.0,0.0,0.0,2,4,Other,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1279,0,0.0,0,0.0,132.0,0.0,0.0,0.0,Other,1,1,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1280,2,63.0,0,0.0,850.3333333,0.0,0.0,0.0,2,2,3,2,Other,True,False,0,0,0,0,1,0,0,0,0
1282,0,0.0,0,0.0,143.0,0.0,0.0,0.0,2,4,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1283,6,136.5555556,0,0.0,3224.819084,0.002985075,8.567426866,0.0,2,4,Other,2,Returning_Visitor,True,True,0,0,0,0,1,0,0,0,0
1284,3,76.0,0,0.0,1038.845238,0.0,0.0,0.0,2,2,Other,3,Other,False,False,0,0,0,0,1,0,0,0,0
1286,0,0.0,0,0.0,216.0,0.0,0.0,0.0,2,4,Other,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1287,2,11.0,0,0.0,363.6666667,0.01,0.0,0.0,2,2,1,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1288,1,0.0,0,0.0,1314.25,0.045833333,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1290,0,0.0,0,0.0,228.0,0.0,0.0,0.0,Other,1,3,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1292,0,0.0,0,0.0,419.75,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1293,0,0.0,0,0.0,270.0,0.028571429,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1294,1,1.333333333,0,0.0,395.2222222,0.006060606,0.0,0.0,2,4,1,2,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
1296,0,0.0,0,0.0,945.0108696,0.006334842,0.0,0.0,Other,2,3,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1297,0,0.0,0,0.0,90.0,0.0,0.0,0.0,Other,2,Other,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1298,0,0.0,1,55.0,936.8333333,0.0,53.25533333,0.0,Other,1,1,2,Returning_Visitor,True,True,0,0,0,0,1,0,0,0,0
1299,0,0.0,0,0.0,8.0,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
1300,0,0.0,0,0.0,447.5,0.02,0.0,0.0,2,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
